Skin Type Combination,Suitable Ingredients
Dry Skin,"Aloe Vera, Shea Butter, Olive Oil, Glycerin, Coconut Oil, Jojoba Oil, Hyaluronic Acid, Ceramides, Squalane, Vitamin E, Argan Oil, Almond Oil, Rosehip Oil, Cocoa Butter, Lanolin, Panthenol, Avocado Oil, Beeswax, Honey"
Oily Skin,"Salicylic Acid, Witch Hazel, Tea Tree Oil, Niacinamide, Zinc PCA, Bentonite Clay, Kaolin Clay, Lactic Acid, Grapefruit Extract, Green Tea Extract, Seaweed Extract, Charcoal, Mattifying Powders, Clay Masks, Sulfur, Citric Acid, Lemon Extract, Willow Bark Extract, Burdock Root Extract"
Combination Skin,"Hyaluronic Acid, Jojoba Oil, Niacinamide, Lactic Acid, Rose Water, Cucumber Extract, Centella Asiatica, Retinol, Vitamin C, Alpha Hydroxy Acids (AHAs), Beta Hydroxy Acids (BHAs), Green Tea Extract, Calendula Extract, Chamomile Extract, Vitamin B5, Peptides, Ceramides, Evening Primrose Oil, Rosemary Extract"
Sensitive Skin,"Calendula Extract, Chamomile Oil, Cucumber Extract, Green Tea Extract, Aloe Vera, Colloidal Oatmeal, Licorice Extract, Bisabolol, Panthenol, Rosehip Oil, Squalane, Shea Butter, Jojoba Oil, Coconut Oil, Argan Oil, Evening Primrose Oil, Avocado Oil, Hemp Seed Oil, Rice Bran Extract"
Normal Skin,"Vitamin C, Retinol, Green Tea Extract, Hyaluronic Acid, Rose Water, Peptides, Ceramides, Niacinamide, Glycerin, Vitamin E, Panthenol, Aloe Vera, Coconut Oil, Jojoba Oil, Almond Oil, Olive Oil, Honey, Propolis, Seaweed Extract"
Acne-Prone Skin,"Salicylic Acid, Benzoyl Peroxide, Tea Tree Oil, Niacinamide, Zinc PCA, Clay Masks, Sulfur, Witch Hazel, Green Tea Extract, Aloe Vera, Centella Asiatica, Calendula Extract, Rosemary Extract, Chamomile Extract, Licorice Extract, Retinol, Vitamin C, Hyaluronic Acid, Lactic Acid"
Aging Skin,"Retinol, Vitamin C, Peptides, Hyaluronic Acid, Coenzyme Q10, Argan Oil, Rosehip Oil, Niacinamide, Vitamin E, Alpha Lipoic Acid, DMAE, Ceramides, Squalane, Resveratrol, Green Tea Extract, Aloe Vera, Collagen, Ginseng Extract, Evening Primrose Oil, Shea Butter"
Dehydrated Skin,"Hyaluronic Acid, Glycerin, Aloe Vera, Ceramides, Squalane, Jojoba Oil, Coconut Oil, Shea Butter, Rosehip Oil, Olive Oil, Vitamin E, Panthenol, Urea, Algae Extract, Honey, Beta-Glucan, Centella Asiatica, Niacinamide, Sodium PCA, Sodium Hyaluronate"
Hyperpigmented Skin,"Vitamin C, Niacinamide, Alpha Arbutin, Kojic Acid, Licorice Extract, Azelaic Acid, Retinol, Vitamin E, Green Tea Extract, Mulberry Extract, Bearberry Extract, Aloe Vera, Papaya Extract, Glycolic Acid, Lactic Acid, Mandelic Acid, Hydroquinone, Resveratrol, Centella Asiatica"
Rosacea-Prone Skin,"Calendula Extract, Chamomile Extract, Licorice Extract, Green Tea Extract, Aloe Vera, Colloidal Oatmeal, Beta-Glucan, Panthenol, Centella Asiatica, Niacinamide, Squalane, Jojoba Oil, Shea Butter, Coconut Oil, Rosehip Oil, Vitamin E, Zinc Oxide, Hyaluronic Acid, Argan Oil"